topic,url,predicted_class,predicted_scores
Hurricane Idalia,https://en.wikipedia.org/wiki/Hurricane_Idalia,B,"{'B': 0.44394953482002913, 'C': 0.08433843324012442, 'FA': 0.1525109563435126, 'GA': 0.30420595193766387, 'Start': 0.010761397841701808, 'Stub': 0.004233725816968117}"
Rock-climbing equipment,https://en.wikipedia.org/wiki/Rock-climbing_equipment,GA,"{'B': 0.20363791091389602, 'C': 0.0527114515774269, 'FA': 0.3308926206303357, 'GA': 0.3954260185710134, 'Start': 0.012493955441974241, 'Stub': 0.004838042865353633}"
Cyclone Batsirai,https://en.wikipedia.org/wiki/Cyclone_Batsirai,GA,"{'B': 0.0893698708383861, 'C': 0.03254964688694615, 'FA': 0.26290900532983275, 'GA': 0.6017232488549372, 'Start': 0.009694873193462128, 'Stub': 0.0037533548964357798}"
Pinoy Big Brother: Kumunity Season 10,https://en.wikipedia.org/wiki/Pinoy_Big_Brother:_Kumunity_Season_10,FA,"{'B': 0.24636531758125244, 'C': 0.0851824203283641, 'FA': 0.4152025269349668, 'GA': 0.24006524324847062, 'Start': 0.009615394792372507, 'Stub': 0.003569097114573577}"
China Eastern Airlines Flight 5735,https://en.wikipedia.org/wiki/China_Eastern_Airlines_Flight_5735,B,"{'B': 0.45090121581188497, 'C': 0.21740648151392447, 'FA': 0.12054809094977001, 'GA': 0.19298847443574102, 'Start': 0.013508594493355178, 'Stub': 0.004647142795324343}"
2022 World Figure Skating Championships,https://en.wikipedia.org/wiki/2022_World_Figure_Skating_Championships,GA,"{'B': 0.13690773287963565, 'C': 0.16198432760514267, 'FA': 0.30505301837847915, 'GA': 0.3679609429399355, 'Start': 0.022307264533932083, 'Stub': 0.005786713662875051}"
Febrile seizure,https://en.wikipedia.org/wiki/Febrile_seizure,B,"{'B': 0.34770589745759106, 'C': 0.09774881835684884, 'FA': 0.31146761524264766, 'GA': 0.2261779391174242, 'Start': 0.012320117591141115, 'Stub': 0.004579612234347042}"
Georgia Guidestones,https://en.wikipedia.org/wiki/Georgia_Guidestones,GA,"{'B': 0.1488790527714754, 'C': 0.07114198045846525, 'FA': 0.13656303554635948, 'GA': 0.6268900676317608, 'Start': 0.012303723597426918, 'Stub': 0.004222139994512267}"
Storm Eunice,https://en.wikipedia.org/wiki/Storm_Eunice,B,"{'B': 0.48992282765290796, 'C': 0.16183213599028554, 'FA': 0.09889747517240331, 'GA': 0.22982937458326588, 'Start': 0.015010715689432963, 'Stub': 0.004507470911704442}"
2022 Winter Olympics opening ceremony,https://en.wikipedia.org/wiki/2022_Winter_Olympics_opening_ceremony,B,"{'B': 0.5658550401475663, 'C': 0.2698483465879663, 'FA': 0.030847302147513647, 'GA': 0.11960295105100426, 'Start': 0.010139901405189779, 'Stub': 0.003706458660759746}"
Jackass Forever,https://en.wikipedia.org/wiki/Jackass_Forever,GA,"{'B': 0.16920103934636618, 'C': 0.0561613949455264, 'FA': 0.10370266049648565, 'GA': 0.6538995879621718, 'Start': 0.012651134956273721, 'Stub': 0.004384182293176107}"
James Davis (printer),https://en.wikipedia.org/wiki/James_Davis_(printer),B,"{'B': 0.3636578066158929, 'C': 0.11535037440765107, 'FA': 0.24639633121016197, 'GA': 0.25815220014900186, 'Start': 0.01184323827340232, 'Stub': 0.004600049343889811}"
Gehraiyaan,https://en.wikipedia.org/wiki/Gehraiyaan,GA,"{'B': 0.14632296023218203, 'C': 0.15959780399953505, 'FA': 0.10586904184542144, 'GA': 0.5661073709679202, 'Start': 0.01722239671301333, 'Stub': 0.00488042624192815}"
Irene Mawer,https://en.wikipedia.org/wiki/Irene_Mawer,GA,"{'B': 0.18077816612825398, 'C': 0.12194869146755848, 'FA': 0.3162070739337193, 'GA': 0.36013282283201714, 'Start': 0.015364961296366117, 'Stub': 0.005568284342085161}"
Killing of Amir Locke,https://en.wikipedia.org/wiki/Killing_of_Amir_Locke,GA,"{'B': 0.08419388298152317, 'C': 0.028825793272408994, 'FA': 0.3597409929036432, 'GA': 0.5160178025518095, 'Start': 0.00802098725052673, 'Stub': 0.003200541040088543}"
2022 Welsh Open (snooker),https://en.wikipedia.org/wiki/2022_Welsh_Open_(snooker),GA,"{'B': 0.11972962724926846, 'C': 0.0329145927897093, 'FA': 0.13620032316405392, 'GA': 0.6956429337738347, 'Start': 0.01190394867280216, 'Stub': 0.0036085743503314}"
2022 New York City Subway attack,https://en.wikipedia.org/wiki/2022_New_York_City_Subway_attack,GA,"{'B': 0.09639146795868775, 'C': 0.037944008847351794, 'FA': 0.16838992573670375, 'GA': 0.6839840025066021, 'Start': 0.009487843464441915, 'Stub': 0.0038027514862128266}"
The Northman,https://en.wikipedia.org/wiki/The_Northman,GA,"{'B': 0.11931668050348136, 'C': 0.0744649308263708, 'FA': 0.1545112504917999, 'GA': 0.63765537196019, 'Start': 0.010367406643618494, 'Stub': 0.0036843595745394767}"
2022 Hungarian parliamentary election,https://en.wikipedia.org/wiki/2022_Hungarian_parliamentary_election,GA,"{'B': 0.10116450218754776, 'C': 0.03689931753183355, 'FA': 0.3327230915847972, 'GA': 0.5151636513458262, 'Start': 0.010080108624115229, 'Stub': 0.003969328725880118}"
2022 United States Senate election in Pennsylvania,https://en.wikipedia.org/wiki/2022_United_States_Senate_election_in_Pennsylvania,GA,"{'B': 0.13079830673770612, 'C': 0.04951508387806889, 'FA': 0.3066696415455055, 'GA': 0.4284791889847668, 'Start': 0.07817516622400263, 'Stub': 0.006362612629950035}"
Dumas Malone,https://en.wikipedia.org/wiki/Dumas_Malone,GA,"{'B': 0.05588681118921584, 'C': 0.02636718050384126, 'FA': 0.4361208830926943, 'GA': 0.47107949620525746, 'Start': 0.007669888181525497, 'Stub': 0.0028757408274657564}"
The Book of Boba Fett,https://en.wikipedia.org/wiki/The_Book_of_Boba_Fett,GA,"{'B': 0.1346273181817608, 'C': 0.04249055754383084, 'FA': 0.09713184175895484, 'GA': 0.7101299427329297, 'Start': 0.01110893793353217, 'Stub': 0.004511401848991697}"
Fantastic Beasts: The Secrets of Dumbledore,https://en.wikipedia.org/wiki/Fantastic_Beasts:_The_Secrets_of_Dumbledore,GA,"{'B': 0.11881588192362773, 'C': 0.2675185226309909, 'FA': 0.08403257016384831, 'GA': 0.5107404590170744, 'Start': 0.014276785516931978, 'Stub': 0.004615780747526782}"
Pishdadian dynasty,https://en.wikipedia.org/wiki/Pishdadian_dynasty,FA,"{'B': 0.02964857540233696, 'C': 0.014436173816947333, 'FA': 0.7846670419607058, 'GA': 0.16180657582143942, 'Start': 0.006904815338519632, 'Stub': 0.0025368176600509074}"
Top-four primary,https://en.wikipedia.org/wiki/Top-four_primary,GA,"{'B': 0.19022163170363107, 'C': 0.115490013912233, 'FA': 0.28675977208635167, 'GA': 0.3870792027324743, 'Start': 0.014796694559908636, 'Stub': 0.005652685005401333}"
2022 UEFA Champions League final,https://en.wikipedia.org/wiki/2022_UEFA_Champions_League_final,GA,"{'B': 0.09134984448641784, 'C': 0.034319930447166566, 'FA': 0.36678858562848504, 'GA': 0.4939000997719784, 'Start': 0.009842704515746393, 'Stub': 0.0037988351502060004}"
Candidates Tournament 2022,https://en.wikipedia.org/wiki/Candidates_Tournament_2022,GA,"{'B': 0.267803250006171, 'C': 0.24607188613661005, 'FA': 0.10672779585771168, 'GA': 0.3545501229341799, 'Start': 0.018637313713113127, 'Stub': 0.00620963135221416}"
Chris Sharma,https://en.wikipedia.org/wiki/Chris_Sharma,GA,"{'B': 0.11899446045849787, 'C': 0.02807995052563888, 'FA': 0.0869714624781723, 'GA': 0.7543955665061277, 'Start': 0.008327404276571686, 'Stub': 0.0032311557549915}"
Shepherd Building Group,https://en.wikipedia.org/wiki/Shepherd_Building_Group,GA,"{'B': 0.1720778723046754, 'C': 0.11585823152685798, 'FA': 0.028795804158838954, 'GA': 0.6614851613621677, 'Start': 0.017593734475631784, 'Stub': 0.004189196171828126}"
July 2022 United Kingdom government crisis,https://en.wikipedia.org/wiki/July_2022_United_Kingdom_government_crisis,GA,"{'B': 0.09838965145759247, 'C': 0.03079498066983792, 'FA': 0.409065491492953, 'GA': 0.44766214276812133, 'Start': 0.010339327281774923, 'Stub': 0.0037484063297204264}"
2022 Luzon earthquake,https://en.wikipedia.org/wiki/2022_Luzon_earthquake,GA,"{'B': 0.10730181904907315, 'C': 0.02517924126354528, 'FA': 0.20715842681020688, 'GA': 0.6469531609441326, 'Start': 0.009806650166823833, 'Stub': 0.0036007017662183526}"
Minions: The Rise of Gru,https://en.wikipedia.org/wiki/Minions:_The_Rise_of_Gru,GA,"{'B': 0.1712226942497117, 'C': 0.09069906726927467, 'FA': 0.0917180869176515, 'GA': 0.629370306568662, 'Start': 0.012662003335287463, 'Stub': 0.004327841659412688}"
Edwards Vacuum,https://en.wikipedia.org/wiki/Edwards_Vacuum,B,"{'B': 0.5600896592572471, 'C': 0.22216218249980554, 'FA': 0.07366695588857697, 'GA': 0.12613089552387566, 'Start': 0.013233025495591792, 'Stub': 0.004717281334902943}"
2022 Pakistan floods,https://en.wikipedia.org/wiki/2022_Pakistan_floods,B,"{'B': 0.44888003740559773, 'C': 0.06976885788083671, 'FA': 0.09156499441764433, 'GA': 0.3764353869827097, 'Start': 0.00962022183837493, 'Stub': 0.003730501474836559}"
Darya Dugina,https://en.wikipedia.org/wiki/Darya_Dugina,GA,"{'B': 0.0712946391162855, 'C': 0.02864866701618075, 'FA': 0.36792425901184317, 'GA': 0.5199283718663406, 'Start': 0.008764362827408789, 'Stub': 0.003439700161941293}"
Archie Battersbee case,https://en.wikipedia.org/wiki/Archie_Battersbee_case,GA,"{'B': 0.15809825113388365, 'C': 0.06122718612916835, 'FA': 0.14330278666426896, 'GA': 0.6163002265181489, 'Start': 0.016252007815407452, 'Stub': 0.004819541739122781}"
Queue for the lying-in-state of Elizabeth II,https://en.wikipedia.org/wiki/Queue_for_the_lying-in-state_of_Elizabeth_II,GA,"{'B': 0.06880171266980493, 'C': 0.038689556092718895, 'FA': 0.2717122285319973, 'GA': 0.6082130454444578, 'Start': 0.009215177579856298, 'Stub': 0.0033682796811650094}"
Illegal operation (euphemism),https://en.wikipedia.org/wiki/Illegal_operation_(euphemism),GA,"{'B': 0.21117877012591948, 'C': 0.15976392145150317, 'FA': 0.15537439713252316, 'GA': 0.4482991115133957, 'Start': 0.01929988987054175, 'Stub': 0.006083909906116906}"
Miss Universe 2022,https://en.wikipedia.org/wiki/Miss_Universe_2022,GA,"{'B': 0.10084004777240041, 'C': 0.0473773327619177, 'FA': 0.11046971672371676, 'GA': 0.7213019324873491, 'Start': 0.015128928770446994, 'Stub': 0.0048820414841691}"
Tartus,https://en.wikipedia.org/wiki/Tartus,B,"{'B': 0.5292365412337574, 'C': 0.2754923227886126, 'FA': 0.023757850283979354, 'GA': 0.1591807027614698, 'Start': 0.009259971550900243, 'Stub': 0.0030726113812804884}"
The Papers of Benjamin Franklin,https://en.wikipedia.org/wiki/The_Papers_of_Benjamin_Franklin,GA,"{'B': 0.13703009295543903, 'C': 0.07312480397647204, 'FA': 0.3766852632886684, 'GA': 0.3913131522975351, 'Start': 0.015737260409005097, 'Stub': 0.006109427072880215}"
October 2022 United Kingdom government crisis,https://en.wikipedia.org/wiki/October_2022_United_Kingdom_government_crisis,GA,"{'B': 0.1442718718901326, 'C': 0.1480190271702203, 'FA': 0.03313204715553581, 'GA': 0.653458728550646, 'Start': 0.01702845543546995, 'Stub': 0.004089869797995425}"
Nagpuria people,https://en.wikipedia.org/wiki/Nagpuria_people,GA,"{'B': 0.10810482646009933, 'C': 0.035395398941476294, 'FA': 0.15751756090593985, 'GA': 0.6838879741143974, 'Start': 0.010932752343518544, 'Stub': 0.004161487234568577}"
2022 Istanbul bombing,https://en.wikipedia.org/wiki/2022_Istanbul_bombing,B,"{'B': 0.380726923578794, 'C': 0.10862608147390446, 'FA': 0.18484636555220238, 'GA': 0.30800077081529476, 'Start': 0.013777211157908557, 'Stub': 0.0040226474218960405}"
Takeoff (rapper),https://en.wikipedia.org/wiki/Takeoff_(rapper),GA,"{'B': 0.11265398821445506, 'C': 0.05946132630440319, 'FA': 0.11547041444382687, 'GA': 0.6965939255030572, 'Start': 0.01149118433611715, 'Stub': 0.004329161198140616}"
John Harrison Stonehouse,https://en.wikipedia.org/wiki/John_Harrison_Stonehouse,GA,"{'B': 0.1658459201050307, 'C': 0.0682702164890262, 'FA': 0.3660956995932326, 'GA': 0.3817256804214121, 'Start': 0.01306230838563266, 'Stub': 0.005000175005665798}"
O'Sulloc Tea,https://en.wikipedia.org/wiki/O'Sulloc_Tea,GA,"{'B': 0.23624893359473256, 'C': 0.1905385084381008, 'FA': 0.0685736066194757, 'GA': 0.48353865500120324, 'Start': 0.015953230648129816, 'Stub': 0.005147065698357825}"
Argentina national football team,https://en.wikipedia.org/wiki/Argentina_national_football_team,B,"{'B': 0.5573781142004242, 'C': 0.28238940982199207, 'FA': 0.03562169516923345, 'GA': 0.1040306787926145, 'Start': 0.016305347187413145, 'Stub': 0.004274754828322644}"
Zillennials,https://en.wikipedia.org/wiki/Zillennials,GA,"{'B': 0.22356121891969416, 'C': 0.08191254555373453, 'FA': 0.14451195272662842, 'GA': 0.5263805179975218, 'Start': 0.017659678350462435, 'Stub': 0.005974086451958663}"
Death and funeral of Pope Benedict XVI,https://en.wikipedia.org/wiki/Death_and_funeral_of_Pope_Benedict_XVI,GA,"{'B': 0.23609657577462725, 'C': 0.05058629044843849, 'FA': 0.1395484608540472, 'GA': 0.5511812410208308, 'Start': 0.01840571539226272, 'Stub': 0.004181716509793552}"
2023 Monterey Park shooting,https://en.wikipedia.org/wiki/2023_Monterey_Park_shooting,GA,"{'B': 0.07221515710800248, 'C': 0.04498982733050393, 'FA': 0.09314130403374044, 'GA': 0.7777562881874978, 'Start': 0.008717768638469996, 'Stub': 0.003179654701785421}"
Hessisches Landesmuseum Darmstadt,https://en.wikipedia.org/wiki/Hessisches_Landesmuseum_Darmstadt,GA,"{'B': 0.14084676673637855, 'C': 0.2744183505855581, 'FA': 0.08871407915174388, 'GA': 0.409473400579382, 'Start': 0.07649810987634492, 'Stub': 0.01004929307059268}"
Green Party of California,https://en.wikipedia.org/wiki/Green_Party_of_California,GA,"{'B': 0.304733364523305, 'C': 0.11439444342153225, 'FA': 0.24208549475072078, 'GA': 0.31133969523296534, 'Start': 0.022588305236159536, 'Stub': 0.004858696835317198}"
Joe Biden classified documents incident,https://en.wikipedia.org/wiki/Joe_Biden_classified_documents_incident,GA,"{'B': 0.2905555097454648, 'C': 0.18989708799325186, 'FA': 0.08112213339983569, 'GA': 0.4151551561398481, 'Start': 0.01769049256053117, 'Stub': 0.005579620161068428}"
Luttra Woman,https://en.wikipedia.org/wiki/Luttra_Woman,GA,"{'B': 0.05134805454380351, 'C': 0.027275912605346217, 'FA': 0.3742615878894199, 'GA': 0.537099285403756, 'Start': 0.007193336354993197, 'Stub': 0.002821823202681241}"
Residential Palace Darmstadt,https://en.wikipedia.org/wiki/Residential_Palace_Darmstadt,GA,"{'B': 0.24959696344656698, 'C': 0.26234720183451654, 'FA': 0.04346449569828193, 'GA': 0.4146047507703694, 'Start': 0.02439987285208591, 'Stub': 0.005586715398179206}"
65th Annual Grammy Awards,https://en.wikipedia.org/wiki/65th_Annual_Grammy_Awards,B,"{'B': 0.6144914908692523, 'C': 0.2448485054500541, 'FA': 0.025265517097695804, 'GA': 0.02992006465426666, 'Start': 0.08107506438285328, 'Stub': 0.004399357545877855}"
Christian Atsu,https://en.wikipedia.org/wiki/Christian_Atsu,GA,"{'B': 0.17137369594296534, 'C': 0.1381624607619142, 'FA': 0.09101776759600588, 'GA': 0.5762125195999257, 'Start': 0.018909729367714512, 'Stub': 0.004323826731474408}"
Mass and Cass,https://en.wikipedia.org/wiki/Mass_and_Cass,B,"{'B': 0.3986260882319195, 'C': 0.14066606599033446, 'FA': 0.05976590074134051, 'GA': 0.376201160624899, 'Start': 0.018759606804917513, 'Stub': 0.005981177606589174}"
Silicon Valley Bank,https://en.wikipedia.org/wiki/Silicon_Valley_Bank,FA,"{'B': 0.05837729077709576, 'C': 0.023486830550640863, 'FA': 0.45405405096903595, 'GA': 0.4530778102345905, 'Start': 0.007990745537132244, 'Stub': 0.003013271931504715}"
Michelle Yeoh,https://en.wikipedia.org/wiki/Michelle_Yeoh,GA,"{'B': 0.08267846306431934, 'C': 0.05020481578627874, 'FA': 0.21450508341187222, 'GA': 0.6405097501391112, 'Start': 0.008705164652949668, 'Stub': 0.003396722945468875}"
SpaceX Starship Integrated Flight Test,https://en.wikipedia.org/wiki/SpaceX_Starship_Integrated_Flight_Test,GA,"{'B': 0.07581107762359322, 'C': 0.021503324849403038, 'FA': 0.42573977381683475, 'GA': 0.465486717996203, 'Start': 0.008264036347040904, 'Stub': 0.0031950693669251366}"
Vande Bharat Express,https://en.wikipedia.org/wiki/Vande_Bharat_Express,GA,"{'B': 0.20574242540833582, 'C': 0.19489653553609387, 'FA': 0.08190142553246135, 'GA': 0.4924457229530679, 'Start': 0.019969624248297256, 'Stub': 0.005044266321743892}"
Funeral for Yesterday,https://en.wikipedia.org/wiki/Funeral_for_Yesterday,GA,"{'B': 0.04806957294966922, 'C': 0.020089032257185776, 'FA': 0.30491288951132495, 'GA': 0.61641013276996, 'Start': 0.007094091926097165, 'Stub': 0.0034242805857627604}"
Herder Memorial Trophy,https://en.wikipedia.org/wiki/Herder_Memorial_Trophy,FA,"{'B': 0.13880366456587875, 'C': 0.06146237941050336, 'FA': 0.6054790201250806, 'GA': 0.17813625543886746, 'Start': 0.011672985864068518, 'Stub': 0.00444569459560126}"
Eukaryote,https://en.wikipedia.org/wiki/Eukaryote,GA,"{'B': 0.10105115459824936, 'C': 0.03997642052089803, 'FA': 0.1930027925109659, 'GA': 0.6516652360888826, 'Start': 0.010359980765804746, 'Stub': 0.003944415515199456}"
African Greeks,https://en.wikipedia.org/wiki/African_Greeks,FA,"{'B': 0.04962535946479013, 'C': 0.018753074117940798, 'FA': 0.5026566867979876, 'GA': 0.420147134901335, 'Start': 0.006334182546810008, 'Stub': 0.002483562171136317}"
Good News International Ministries,https://en.wikipedia.org/wiki/Good_News_International_Ministries,GA,"{'B': 0.32117037077531446, 'C': 0.10444257461379378, 'FA': 0.1386073071652288, 'GA': 0.41480811526888745, 'Start': 0.01568407445045205, 'Stub': 0.005287557726323464}"
2023 SEA Games,https://en.wikipedia.org/wiki/2023_SEA_Games,B,"{'B': 0.353325636110215, 'C': 0.24721142668780124, 'FA': 0.04986649890463967, 'GA': 0.3238281704770611, 'Start': 0.019949273692890727, 'Stub': 0.005818994127392368}"
Cyclone Mocha,https://en.wikipedia.org/wiki/Cyclone_Mocha,GA,"{'B': 0.13009476506426668, 'C': 0.046763018392516245, 'FA': 0.30201362164227297, 'GA': 0.5059879330617816, 'Start': 0.011101485175234014, 'Stub': 0.004039176663928568}"
Eurovision Song Contest 2024,https://en.wikipedia.org/wiki/Eurovision_Song_Contest_2024,GA,"{'B': 0.07938133472830154, 'C': 0.041945667688348634, 'FA': 0.18069656897155628, 'GA': 0.6841780202274365, 'Start': 0.009734759586723206, 'Stub': 0.004063648797633958}"
2023 Emilia-Romagna floods,https://en.wikipedia.org/wiki/2023_Emilia-Romagna_floods,GA,"{'B': 0.06216045668937171, 'C': 0.017964643551875985, 'FA': 0.39840040008009736, 'GA': 0.511512288867548, 'Start': 0.007132128496311459, 'Stub': 0.0028300823147954695}"
OceanGate,https://en.wikipedia.org/wiki/OceanGate,GA,"{'B': 0.13412417724735018, 'C': 0.061544528380864646, 'FA': 0.17929890806664525, 'GA': 0.6103335622425434, 'Start': 0.010762870711099768, 'Stub': 0.0039359533514967664}"
Treat Williams,https://en.wikipedia.org/wiki/Treat_Williams,GA,"{'B': 0.050114352557963454, 'C': 0.02094282732721705, 'FA': 0.4544417692935309, 'GA': 0.4639953286087043, 'Start': 0.0075357985442631404, 'Stub': 0.002969923668321115}"
Threads (social network),https://en.wikipedia.org/wiki/Threads_(social_network),GA,"{'B': 0.1536276236082608, 'C': 0.076269382058159, 'FA': 0.14389030646224796, 'GA': 0.6057071482490285, 'Start': 0.015458797852295298, 'Stub': 0.005046741770008484}"
E.A.T. (TV program),https://en.wikipedia.org/wiki/E.A.T._(TV_program),GA,"{'B': 0.17035135480998218, 'C': 0.09660403849194805, 'FA': 0.15838819202235588, 'GA': 0.5532548679856016, 'Start': 0.01619376965873643, 'Stub': 0.005207777031375867}"
2023 Tour de France,https://en.wikipedia.org/wiki/2023_Tour_de_France,FA,"{'B': 0.1352802086987639, 'C': 0.1165290950427596, 'FA': 0.39005786402742115, 'GA': 0.3381473777357897, 'Start': 0.01409697769051192, 'Stub': 0.005888476804753877}"
Those Once Loyal,https://en.wikipedia.org/wiki/Those_Once_Loyal,GA,"{'B': 0.05625440594265478, 'C': 0.01842559031679639, 'FA': 0.33213408501224867, 'GA': 0.5828442401988603, 'Start': 0.007380765253729703, 'Stub': 0.002960913275709978}"
Barbie: The Album,https://en.wikipedia.org/wiki/Barbie:_The_Album,GA,"{'B': 0.09314612372169322, 'C': 0.03691304133953999, 'FA': 0.30297123351073635, 'GA': 0.5527901046352336, 'Start': 0.010169584961535307, 'Stub': 0.004009911831261558}"
Mount Greylock,https://en.wikipedia.org/wiki/Mount_Greylock,GA,"{'B': 0.16580484025690193, 'C': 0.051115507388120866, 'FA': 0.2644651843856265, 'GA': 0.501869861105899, 'Start': 0.011971648177842497, 'Stub': 0.004772958685609276}"
George Young (swimmer),https://en.wikipedia.org/wiki/George_Young_(swimmer),GA,"{'B': 0.27508085801482474, 'C': 0.12590781081297245, 'FA': 0.2429320099155862, 'GA': 0.3338622959868188, 'Start': 0.01705603520311786, 'Stub': 0.005160990066679909}"
Banjska attack,https://en.wikipedia.org/wiki/Banjska_attack,GA,"{'B': 0.07458050043283404, 'C': 0.0221248336202366, 'FA': 0.4405236215929727, 'GA': 0.4508962078094502, 'Start': 0.008679099257451415, 'Stub': 0.003195737287055203}"
Armorial of Albania,https://en.wikipedia.org/wiki/Armorial_of_Albania,FA,"{'B': 0.09685955700946929, 'C': 0.027835454793513726, 'FA': 0.6469932735581421, 'GA': 0.2157601676962147, 'Start': 0.009589644131123317, 'Stub': 0.0029619028115368613}"
Kenkoku University,https://en.wikipedia.org/wiki/Kenkoku_University,B,"{'B': 0.4022767950126992, 'C': 0.2892147278507756, 'FA': 0.18085552020817158, 'GA': 0.10034787386882577, 'Start': 0.021812739816756986, 'Stub': 0.005492343242770973}"
